Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
108,Kelly Oubre Jr.,29,PHI,SF,60,57,34.6,05.sie,12.kwi,0.47,01.lut,4.0,0.293,04.cze,08.mar,0.555,0.518,02.mar,03.sty,0.751,01.cze,04.maj,06.sty,01.sie,01.maj,0.5,01.mar,3.0,15.sty,
109,Chet Holmgren,22,OKC,C,32,32,27.kwi,05.lut,10.lip,0.49,01.kwi,03.cze,0.379,03.sie,7.0,0.547,0.554,03.lut,04.lut,0.754,01.maj,06.maj,8.0,2.0,0.7,02.lut,01.sie,02.mar,15.0,
110,Kyle Kuzma,29,2TM,PF,65,62,29.sie,05.lip,13.0,0.436,01.maj,04.sie,0.307,04.lut,08.lut,0.512,0.493,2.0,03.sty,0.634,0.8,04.wrz,05.lip,02.mar,0.6,0.3,02.lut,01.sie,14.sie,
111,Kyle Kuzma,29,WAS,PF,32,30,27.lip,6.0,14.lut,0.42,01.kwi,5.0,0.281,04.cze,09.lut,0.495,0.469,01.sie,03.sty,0.602,0.8,04.wrz,05.sie,02.maj,0.6,0.2,02.mar,01.cze,15.lut,
112,Kyle Kuzma,29,MIL,PF,33,32,31.sie,05.kwi,11.wrz,0.455,01.maj,04.cze,0.333,03.wrz,07.mar,0.533,0.52,02.sty,03.lut,0.663,0.8,04.sie,05.cze,02.lut,0.5,0.4,02.lut,2.0,14.maj,
113,Stephon Castle,20,SAS,PG,81,47,26.lip,05.lut,12.lut,0.428,01.lut,04.sty,0.285,4.0,08.sty,0.501,0.476,03.sty,04.lut,0.724,01.sty,02.cze,03.lip,04.sty,0.9,0.3,02.lut,2.0,14.lip,ROY-1
114,Aaron Gordon,29,DEN,PF,51,42,28.kwi,05.lut,09.lip,0.531,01.maj,03.kwi,0.436,03.lip,06.kwi,0.582,0.607,02.sie,03.maj,0.81,01.cze,03.mar,04.sie,03.lut,0.5,0.3,01.kwi,01.cze,14.lip,
115,P.J. Washington,26,DAL,PF,57,56,32.2,05.mar,11.lip,0.453,01.cze,04.lut,0.381,03.lip,07.maj,0.493,0.521,02.maj,03.maj,0.722,01.kwi,06.mar,07.sie,02.mar,01.sty,01.sty,02.sty,02.mar,14.lip,
116,Quentin Grimes,24,2TM,SG,75,37,26.sie,05.sty,11.0,0.467,02.lut,05.cze,0.385,3.0,05.kwi,0.552,0.565,02.lut,02.wrz,0.757,0.8,03.maj,04.mar,3.0,1.0,0.3,01.wrz,01.sie,14.cze,
117,Quentin Grimes,24,DAL,SG,47,12,22.sie,03.cze,07.sie,0.463,01.lip,04.mar,0.398,01.wrz,03.maj,0.543,0.573,01.mar,01.lip,0.765,0.6,03.lut,03.sie,02.sty,0.7,0.2,01.mar,01.lip,10.lut,
118,Quentin Grimes,24,PHI,SG,28,25,33.7,07.lip,16.kwi,0.469,02.wrz,07.wrz,0.373,04.sie,08.maj,0.559,0.559,03.cze,04.sie,0.752,1.0,04.sty,05.lut,04.maj,01.maj,0.4,02.wrz,02.sty,21.wrz,
119,Josh Giddey,22,CHI,PG,70,69,30.2,05.mar,11.kwi,0.465,01.maj,4.0,0.378,03.sie,07.kwi,0.512,0.531,02.maj,03.lut,0.781,01.sie,06.mar,08.sty,07.lut,01.lut,0.6,02.wrz,01.lip,14.cze,
120,Jakob Poeltl,29,TOR,C,57,56,29.cze,06.kwi,10.lut,0.627,0.0,0.1,0.333,06.kwi,10.sty,0.628,0.628,01.lip,02.maj,0.674,03.mar,06.mar,09.cze,02.sie,01.lut,01.lut,01.wrz,03.sty,14.maj,
