Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
164,Jabari Smith Jr.,21,HOU,PF,57,39,30.sty,04.kwi,09.wrz,0.438,01.lip,04.wrz,0.354,02.cze,05.sty,0.519,0.525,01.sie,02.lut,0.825,01.sie,05.lut,7.0,01.sty,0.4,0.7,01.sty,02.lut,12.lut,
165,Caris LeVert,30,2TM,SG,64,3,24.wrz,04.kwi,09.kwi,0.467,01.lip,04.kwi,0.373,02.lip,04.wrz,0.552,0.556,01.lip,02.kwi,0.71,0.6,02.maj,03.lut,03.kwi,0.9,0.5,01.lut,01.maj,12.sty,
166,Caris LeVert,30,CLE,SF,38,3,23.sie,03.cze,07.sie,0.453,01.cze,03.wrz,0.405,2.0,03.wrz,0.5,0.554,01.maj,02.lut,0.699,0.6,02.lut,02.sie,03.lip,0.9,0.5,01.mar,01.mar,10.lut,
167,Caris LeVert,30,ATL,SG,26,0,26.cze,05.cze,11.cze,0.482,01.sie,05.lut,0.338,03.sie,06.mar,0.6,0.558,2.0,02.sie,0.722,0.7,3.0,03.lip,02.wrz,0.9,0.5,1.0,2.0,14.wrz,
168,Drew Timme,24,BRK,PF,9,2,28.lut,5.0,11.mar,0.441,1.0,03.wrz,0.257,4.0,07.kwi,0.537,0.485,01.sty,01.sie,0.625,01.wrz,05.mar,07.lut,02.lut,0.4,0.1,01.lip,02.mar,12.sty,
169,Tari Eason,23,HOU,PF,57,16,24.wrz,04.sie,09.sie,0.487,01.sty,03.lut,0.342,03.lip,06.cze,0.557,0.543,01.kwi,01.sie,0.76,02.lut,04.sty,06.kwi,01.maj,01.lip,0.9,01.sty,02.kwi,12.0,
170,Rudy Gobert,32,MIN,C,72,72,33.2,04.lip,07.sty,0.669,0.0,0.0,,04.lip,07.sty,0.669,0.669,02.cze,03.sie,0.674,03.lip,07.lut,10.wrz,01.sie,0.8,01.kwi,01.lut,02.maj,12.0,"DPOY-13,DEF2"
171,Aaron Nesmith,25,IND,SF,45,37,25.0,04.mar,08.kwi,0.507,01.wrz,04.mar,0.431,02.kwi,04.sty,0.587,0.617,01.cze,01.sie,0.913,0.8,03.sty,4.0,01.lut,0.8,0.4,0.8,02.maj,12.0,
172,Aaron Wiggins,26,OKC,SG,76,26,22.wrz,04.lip,09.cze,0.488,01.lip,04.maj,0.383,3.0,05.sty,0.578,0.577,1.0,01.lut,0.831,01.sty,02.sie,03.wrz,01.sie,0.8,0.2,0.9,01.mar,12.0,
173,Khris Middleton,33,2TM,SF,37,21,22.sie,04.mar,09.sty,0.475,01.mar,03.cze,0.361,3.0,05.maj,0.549,0.546,01.wrz,02.mar,0.857,0.4,03.kwi,03.lip,04.sty,0.9,0.2,01.maj,2.0,11.wrz,
174,Khris Middleton,33,MIL,SF,23,7,23.lut,04.lip,09.lut,0.512,01.maj,03.lip,0.407,03.lut,05.kwi,0.584,0.595,01.lip,2.0,0.848,0.2,03.maj,03.lip,04.kwi,0.7,0.2,01.cze,02.mar,12.cze,
175,Khris Middleton,33,WAS,SF,14,14,22.sty,03.lip,9.0,0.413,0.9,03.kwi,0.277,02.sie,05.cze,0.494,0.464,02.kwi,02.lip,0.868,0.6,03.sty,03.lip,03.kwi,01.mar,0.2,01.kwi,01.cze,10.lip,
176,Jalen Duren,21,DET,C,78,78,26.sty,04.sie,7.0,0.692,0.0,0.0,,04.sie,7.0,0.692,0.692,02.sty,03.sty,0.669,03.cze,06.sie,10.mar,02.lip,0.7,01.sty,01.lip,03.lut,11.sie,
177,Donte DiVincenzo,28,MIN,SG,62,10,25.wrz,4.0,09.cze,0.422,02.sie,07.sty,0.397,01.lut,02.maj,0.49,0.568,0.8,1.0,0.778,0.5,03.lut,03.lip,03.cze,01.lut,0.3,01.cze,01.sie,11.lip,
178,Brandin Podziemski,21,GSW,SG,64,33,26.sie,04.kwi,09.sie,0.445,01.sie,04.sie,0.372,02.cze,5.0,0.516,0.537,01.sty,01.maj,0.758,1.0,04.sty,05.sty,03.kwi,01.sty,0.2,01.lut,01.maj,11.lip,
179,Corey Kispert,25,WAS,SF,61,0,26.mar,04.lut,09.mar,0.451,2.0,05.kwi,0.364,02.lut,03.wrz,0.574,0.558,01.lut,01.kwi,0.852,0.6,02.kwi,3.0,01.lip,0.4,0.2,1.0,01.cze,11.cze,
180,Jeremy Sochan,21,SAS,PF,54,23,25.mar,04.cze,08.lip,0.535,0.5,01.lip,0.308,04.sty,7.0,0.59,0.565,01.cze,02.mar,0.696,02.kwi,04.lut,06.maj,02.kwi,0.8,0.5,01.cze,02.kwi,11.kwi,
181,Toumani Camara,24,POR,PF,78,78,32.7,04.lut,09.lut,0.458,01.lip,04.cze,0.375,02.maj,04.cze,0.542,0.552,01.lut,01.cze,0.722,02.lut,03.cze,05.sie,02.lut,01.maj,0.6,01.kwi,02.wrz,11.mar,"DPOY-9,DEF2"
182,Isaiah Hartenstein,26,OKC,C,57,53,27.wrz,04.wrz,08.kwi,0.581,0.0,0.3,0.0,04.wrz,08.sty,0.605,0.581,01.kwi,02.sty,0.675,02.wrz,07.wrz,10.lip,03.sie,0.8,01.sty,01.lip,3.0,11.lut,
183,Buddy Hield,32,GSW,SG,82,22,22.lip,4.0,09.cze,0.417,02.maj,06.lip,0.37,01.maj,02.wrz,0.527,0.546,0.6,0.8,0.828,0.6,02.cze,03.lut,01.cze,0.8,0.3,01.sty,01.cze,11.sty,
184,Jrue Holiday,34,BOS,PG,62,62,30.cze,04.sty,09.lut,0.443,01.lip,04.wrz,0.353,02.kwi,04.mar,0.547,0.538,01.sty,01.lut,0.909,01.lut,3.0,04.mar,03.wrz,01.sty,0.4,01.lut,01.cze,11.sty,
185,Walker Kessler,23,UTA,C,58,58,30.0,04.sie,07.lut,0.663,0.1,0.6,0.176,04.lip,06.cze,0.706,0.671,01.kwi,02.cze,0.52,04.cze,07.cze,12.lut,01.lip,0.6,02.kwi,01.maj,02.lut,11.sty,
186,Gary Trent Jr.,26,MIL,SG,74,9,25.cze,03.sie,08.wrz,0.431,02.kwi,05.wrz,0.416,01.kwi,3.0,0.46,0.568,01.sty,01.lut,0.848,0.3,2.0,02.mar,01.lut,1.0,0.1,0.6,01.lip,11.sty,
187,Spencer Dinwiddie,31,DAL,PG,79,30,27.0,03.cze,08.cze,0.416,01.kwi,04.sty,0.334,02.lut,04.maj,0.492,0.496,02.maj,03.sty,0.802,0.2,02.kwi,02.cze,04.kwi,0.9,0.2,01.mar,01.maj,11.0,
188,Tim Hardaway Jr.,32,DET,SG,77,77,28.0,03.cze,08.sie,0.406,02.lut,05.wrz,0.368,01.kwi,02.wrz,0.484,0.529,01.cze,01.wrz,0.855,0.2,02.sty,02.kwi,01.cze,0.5,0.1,0.6,01.lut,11.0,
189,Duncan Robinson,30,MIA,SF,74,37,24.sty,03.wrz,9.0,0.437,02.cze,06.maj,0.393,01.kwi,02.kwi,0.556,0.581,0.6,0.7,0.887,0.2,2.0,02.mar,02.kwi,0.5,0.1,01.lut,01.sie,11.0,
190,Guerschon Yabusele,29,PHI,C,70,43,27.sty,4.0,8.0,0.501,01.maj,03.wrz,0.38,02.maj,04.sty,0.616,0.593,01.kwi,2.0,0.725,01.wrz,03.lip,05.cze,02.sty,0.8,0.3,01.lut,02.mar,11.0,
191,Brice Sensabaugh,21,UTA,SF,71,15,20.lut,03.wrz,08.kwi,0.459,02.lut,05.lut,0.422,01.lip,03.lut,0.52,0.59,0.9,1.0,0.89,0.6,02.kwi,3.0,01.maj,0.6,0.1,01.maj,01.cze,10.wrz,
192,Bogdan Bogdanović,32,2TM,SG,54,4,25.0,03.wrz,09.sty,0.427,01.wrz,05.kwi,0.363,01.wrz,03.sie,0.517,0.534,01.sty,01.lut,0.879,0.4,02.maj,02.wrz,02.lip,0.8,0.2,01.kwi,02.kwi,10.sie,
193,Bogdan Bogdanović,32,ATL,SG,24,0,24.wrz,03.maj,09.mar,0.371,01.sie,06.sty,0.301,01.cze,03.mar,0.5,0.469,01.mar,01.kwi,0.882,0.5,02.mar,02.sie,2.0,0.8,0.3,01.maj,02.kwi,10.0,
194,Bogdan Bogdanović,32,LAC,SG,30,4,25.0,04.lut,08.wrz,0.474,2.0,04.sie,0.427,02.lut,04.lut,0.528,0.588,0.9,01.sty,0.875,0.4,02.lip,03.sty,03.lut,0.7,0.2,01.lut,02.mar,11.kwi,
195,Jordan Hawkins,22,NOP,SG,56,9,23.cze,03.lip,09.wrz,0.372,2.0,05.wrz,0.331,01.lip,4.0,0.433,0.471,01.kwi,01.sie,0.816,0.4,02.kwi,02.sie,01.lut,0.5,0.4,1.0,0.9,10.sie,
196,Brandon Boston Jr.,23,NOP,SG,42,10,23.cze,4.0,09.sty,0.436,01.lut,03.mar,0.35,02.sie,05.lip,0.485,0.5,01.cze,2.0,0.788,0.7,02.maj,03.lut,02.lut,01.mar,0.2,01.lut,01.lip,10.lip,
197,Nikola Jović,21,MIA,PF,46,10,25.sty,03.lip,08.lut,0.456,01.lip,04.cze,0.371,2.0,03.cze,0.563,0.56,01.cze,01.wrz,0.828,0.6,03.mar,03.wrz,02.sie,0.8,0.3,01.mar,01.sie,10.lip,
198,Grayson Allen,29,PHO,SG,64,7,24.sty,03.kwi,07.cze,0.448,02.mar,05.maj,0.426,01.sty,02.lut,0.504,0.6,01.maj,01.sie,0.816,0.5,02.maj,3.0,02.sty,0.8,0.3,01.lut,01.maj,10.cze,
199,Keon Johnson,22,BRK,SG,79,56,24.kwi,03.sie,09.wrz,0.389,01.cze,05.sty,0.314,02.lut,04.sie,0.468,0.47,01.kwi,01.sie,0.77,0.8,3.0,03.sie,02.lut,1.0,0.4,01.maj,02.cze,10.cze,
200,Terry Rozier,30,MIA,PG,64,23,25.wrz,03.wrz,09.wrz,0.391,01.kwi,04.sie,0.295,02.maj,05.sty,0.48,0.462,01.kwi,01.lip,0.852,0.7,3.0,03.lip,02.cze,0.6,0.2,01.lut,01.sty,10.cze,
201,Obi Toppin,26,IND,PF,79,4,19.cze,4.0,07.cze,0.529,01.kwi,03.sie,0.365,02.cze,03.sie,0.695,0.621,01.sty,01.kwi,0.781,0.7,03.mar,4.0,01.cze,0.6,0.4,0.9,01.kwi,10.maj,
202,Jonas Valanči?nas,32,2TM,C,81,21,18.sie,04.mar,07.lip,0.55,0.1,0.5,0.216,04.lut,07.mar,0.571,0.557,01.sie,2.0,0.879,02.mar,05.kwi,07.lip,2.0,0.5,0.6,01.maj,02.lut,10.kwi,
203,Jonas Valanči?nas,32,WAS,C,49,12,20.sty,04.lip,08.cze,0.547,0.1,0.6,0.259,04.cze,08.sty,0.567,0.556,01.wrz,02.lut,0.896,02.kwi,05.sie,08.lut,02.lut,0.4,0.6,01.sie,2.0,11.maj,
204,Jonas Valanči?nas,32,SAC,C,32,9,16.wrz,03.cze,06.kwi,0.556,0.0,0.3,0.1,03.maj,06.sty,0.579,0.559,01.cze,01.sie,0.847,02.lut,04.sie,7.0,01.sie,0.5,0.6,1.0,02.cze,08.lip,
205,Ochai Agbaji,24,TOR,SG,64,45,27.lut,04.lut,08.mar,0.498,01.cze,4.0,0.399,02.cze,04.kwi,0.587,0.593,0.5,0.8,0.708,1.0,02.sie,03.sie,01.maj,0.9,0.5,0.8,2.0,10.kwi,
206,Jaylen Wells,21,MEM,SG,79,74,25.wrz,03.cze,08.cze,0.425,01.lip,5.0,0.352,01.wrz,03.cze,0.525,0.527,01.kwi,01.lip,0.822,01.sty,02.mar,03.kwi,01.lip,0.6,0.1,0.9,01.sie,10.kwi,ROY-3
207,Grant Williams,26,CHO,PF,16,7,29.wrz,03.kwi,07.lip,0.439,01.lip,04.cze,0.365,01.lip,03.sty,0.551,0.549,01.wrz,02.mar,0.838,01.sty,4.0,05.sty,02.mar,01.sty,0.8,01.sie,02.wrz,10.kwi,
208,Kevin Porter Jr.,24,2TM,SG,75,4,19.sie,03.wrz,08.lip,0.449,0.7,02.kwi,0.311,03.lut,06.mar,0.501,0.492,01.lip,02.mar,0.769,0.6,03.sty,03.lip,03.kwi,01.sty,0.2,01.sie,01.cze,10.mar,
209,Kevin Porter Jr.,24,LAC,SG,45,2,19.cze,03.sie,9.0,0.423,0.6,02.kwi,0.245,03.lut,06.lip,0.485,0.455,01.sty,01.lip,0.645,0.6,02.wrz,03.cze,03.lut,1.0,0.2,01.wrz,01.cze,09.mar,
210,Kevin Porter Jr.,24,MIL,SG,30,2,19.wrz,4.0,08.lut,0.494,1.0,02.kwi,0.408,03.sty,05.sie,0.529,0.553,02.lip,03.sty,0.871,0.4,03.maj,03.wrz,03.lip,01.mar,0.1,01.lip,01.cze,11.lip,
211,Jose Alvarado,26,NOP,PG,56,23,24.kwi,03.cze,09.mar,0.392,2.0,05.maj,0.359,01.lip,03.sie,0.439,0.498,01.sty,01.mar,0.811,0.5,01.wrz,02.kwi,04.cze,01.mar,0.3,01.maj,01.cze,10.mar,
212,Nic Claxton,25,BRK,C,70,62,26.wrz,04.cze,08.sty,0.563,0.1,0.3,0.238,04.maj,07.sie,0.576,0.568,01.sty,02.lut,0.513,02.lut,05.sty,07.kwi,02.lut,0.9,01.kwi,01.lut,02.sty,10.mar,
213,Herbert Jones,26,NOP,SF,20,20,32.4,03.sie,08.cze,0.436,01.sty,03.cze,0.306,02.lip,5.0,0.53,0.5,01.lip,2.0,0.825,01.sty,02.sie,03.wrz,03.mar,01.wrz,0.5,01.sie,03.mar,10.mar,
214,De'Anthony Melton,26,GSW,SG,6,2,20.lut,03.lip,9.0,0.407,02.lut,05.sie,0.371,01.maj,03.lut,0.474,0.528,0.8,01.mar,0.625,1.0,02.mar,03.mar,02.sie,01.lut,0.3,01.lip,3.0,10.mar,
215,Isaiah Joe,25,OKC,SG,74,16,21.lip,03.maj,07.wrz,0.44,02.cze,06.mar,0.412,0.9,01.cze,0.549,0.604,0.6,0.8,0.821,0.6,02.sty,02.cze,01.cze,0.6,0.1,0.5,01.maj,10.lut,
216,Tyus Jones,28,PHO,PG,81,58,26.sie,03.sie,08.kwi,0.448,2.0,5.0,0.414,01.lip,03.maj,0.496,0.57,0.6,0.7,0.895,0.5,01.wrz,02.kwi,05.mar,0.9,0.1,01.sty,0.8,10.lut,
217,Trendon Watford,24,BRK,PF,44,6,20.sie,03.lip,8.0,0.469,0.7,2.0,0.33,03.sty,6.0,0.515,0.51,02.sty,02.sie,0.762,0.8,02.sie,03.cze,02.cze,0.6,0.3,01.wrz,02.lut,10.lut,
218,Keion Brooks Jr.,24,NOP,SF,14,6,23.lip,03.sie,07.sie,0.486,1.0,03.sty,0.326,02.sie,04.lip,0.591,0.55,01.cze,02.sty,0.733,0.9,03.mar,04.sty,0.9,0.7,0.7,0.9,02.sty,10.sty,
219,Luguentz Dort,25,OKC,SF,71,71,29.2,03.cze,08.kwi,0.435,02.kwi,05.sie,0.412,01.lut,02.maj,0.489,0.578,0.5,0.6,0.717,01.mar,02.wrz,04.sty,01.cze,01.sty,0.5,0.7,02.wrz,10.sty,"DPOY-4,DEF1"
220,Justin Edwards,21,PHI,SF,44,26,26.mar,03.wrz,08.cze,0.455,01.cze,04.mar,0.363,02.mar,04.mar,0.548,0.546,0.7,1.0,0.696,1.0,02.mar,03.kwi,01.cze,1.0,0.4,01.sty,02.lut,10.sty,
221,Derrick Jones Jr.,27,LAC,SF,77,55,24.mar,4.0,07.cze,0.526,1.0,02.sie,0.356,3.0,04.sie,0.627,0.593,01.sty,01.maj,0.703,01.lut,02.lut,03.kwi,0.8,1.0,0.4,0.9,2.0,10.sty,
222,Ausar Thompson,22,DET,SF,59,48,22.maj,04.lut,07.sie,0.535,0.2,0.8,0.224,4.0,7.0,0.572,0.547,01.maj,02.kwi,0.641,01.wrz,03.mar,05.sty,02.mar,01.lip,0.7,01.kwi,02.sie,10.sty,
223,Chris Boucher,32,TOR,PF,50,0,17.lut,03.cze,07.kwi,0.492,01.kwi,03.wrz,0.363,02.lut,03.maj,0.633,0.586,01.kwi,01.lip,0.782,01.kwi,03.sty,04.maj,0.7,0.5,0.5,0.6,01.kwi,10.0,
224,Andrew Nembhard,25,IND,SG,65,65,28.wrz,03.sie,08.mar,0.458,0.8,02.lip,0.291,3.0,05.cze,0.538,0.506,01.lip,02.sty,0.794,0.5,02.sie,03.mar,5.0,01.lut,0.2,01.lip,02.mar,10.0,
225,Ziaire Williams,23,BRK,SF,63,45,24.maj,03.kwi,08.mar,0.412,01.cze,04.sie,0.341,01.sie,03.maj,0.509,0.511,01.cze,2.0,0.821,1.0,03.cze,04.cze,01.mar,1.0,0.4,01.sty,02.kwi,10.0,
226,Kevin Huerter,26,2TM,SG,69,31,24.mar,03.lip,08.sie,0.425,01.wrz,05.lip,0.338,01.sie,03.sty,0.587,0.535,0.5,0.7,0.714,0.4,02.maj,3.0,02.mar,1.0,0.3,1.0,01.sie,09.wrz,
227,Kevin Huerter,26,SAC,SG,43,15,20.wrz,3.0,07.lut,0.413,01.kwi,04.sie,0.302,01.maj,02.kwi,0.629,0.513,0.5,0.7,0.714,0.4,02.mar,02.sie,01.lip,0.8,0.4,0.9,01.cze,07.wrz,
228,Kevin Huerter,26,CHI,SG,26,16,30.0,5.0,11.mar,0.439,02.lip,07.lut,0.376,02.mar,04.lut,0.546,0.558,0.6,0.8,0.714,0.4,02.sie,03.mar,03.lut,01.lut,0.3,01.lut,2.0,13.lut,
229,Georges Niang,31,2TM,PF,79,3,21.maj,03.cze,07.sie,0.461,02.sty,05.lut,0.406,01.maj,02.lip,0.569,0.595,0.6,0.7,0.793,0.6,02.sie,03.kwi,01.kwi,0.4,0.2,1.0,02.maj,09.wrz,
230,Georges Niang,31,CLE,PF,51,1,20.cze,03.mar,06.sie,0.477,01.sie,04.kwi,0.4,01.maj,02.kwi,0.618,0.606,0.5,0.6,0.793,0.7,3.0,03.lip,01.mar,0.3,0.1,0.9,02.maj,08.lip,
231,Georges Niang,31,ATL,PF,28,2,23.0,04.mar,09.lip,0.441,02.lip,06.cze,0.413,01.cze,03.sty,0.5,0.581,0.8,1.0,0.793,0.5,02.maj,3.0,01.cze,0.4,0.3,01.lut,02.cze,12.sty,
232,Julian Champagnie,23,SAS,SF,82,29,23.cze,03.kwi,08.sty,0.415,02.lut,05.wrz,0.371,01.lut,02.mar,0.53,0.549,1.0,01.sty,0.904,0.8,03.sty,03.wrz,01.kwi,0.7,0.4,0.9,01.kwi,09.wrz,
233,Scotty Pippen Jr.,24,MEM,PG,79,21,21.mar,03.cze,07.maj,0.48,01.sty,02.sie,0.397,02.maj,04.lip,0.528,0.553,01.maj,02.lut,0.713,0.8,02.maj,03.mar,04.kwi,01.mar,0.4,01.lip,02.cze,09.wrz,
234,Nick Smith Jr.,20,CHO,SG,60,27,22.sie,03.lip,09.maj,0.391,01.lip,05.sty,0.34,2.0,04.kwi,0.45,0.482,0.7,0.8,0.935,0.2,01.wrz,02.sty,02.kwi,0.3,0.1,01.kwi,01.mar,09.wrz,
235,Bub Carrington,19,WAS,PG,82,57,30.0,03.lip,09.sty,0.401,01.lip,5.0,0.339,2.0,04.lut,0.475,0.493,0.8,1.0,0.812,0.4,03.sie,04.lut,04.kwi,0.7,0.3,01.lip,02.mar,09.sie,
236,Moses Moody,22,GSW,SG,74,34,22.mar,03.mar,07.lip,0.433,01.lip,04.cze,0.374,01.cze,03.sty,0.519,0.544,01.kwi,01.sie,0.797,0.7,01.wrz,02.cze,01.mar,0.8,0.4,0.7,01.cze,09.sie,
237,Amir Coffey,27,LAC,SG,72,13,24.mar,03.mar,07.sty,0.471,01.kwi,03.kwi,0.409,01.wrz,03.lip,0.529,0.57,01.cze,01.sie,0.891,0.4,01.sie,02.lut,01.sty,0.6,0.1,0.6,01.lip,09.lip,
238,Max Christie,21,2TM,SG,78,36,27.mar,03.lut,07.cze,0.427,01.maj,4.0,0.366,01.sie,03.maj,0.496,0.525,01.lip,01.wrz,0.855,0.5,02.sie,03.mar,01.wrz,0.8,0.4,01.sty,01.maj,09.cze,
239,Max Christie,21,LAL,SG,46,25,25.sty,02.sie,06.mar,0.444,01.mar,03.maj,0.368,01.maj,02.lip,0.544,0.549,01.cze,01.wrz,0.851,0.5,02.sty,02.lip,01.kwi,0.8,0.5,0.8,01.cze,08.maj,
240,Max Christie,21,DAL,SG,32,11,30.kwi,03.wrz,09.kwi,0.411,01.lip,04.lip,0.364,02.lut,04.lip,0.457,0.502,01.sie,2.0,0.862,0.4,03.sie,04.lut,02.maj,0.9,0.3,01.maj,01.mar,11.lut,
241,Kyle Filipowski,21,UTA,C,72,27,21.sty,03.cze,07.lut,0.502,01.sty,03.sty,0.35,02.maj,04.sty,0.614,0.576,01.mar,2.0,0.65,01.cze,04.cze,06.sty,01.wrz,0.7,0.3,01.kwi,02.kwi,09.cze,
242,Tosan Evbuomwan,23,BRK,SF,28,0,23.sie,03.kwi,07.wrz,0.427,0.9,02.sie,0.312,02.maj,05.sty,0.49,0.482,2.0,02.cze,0.753,01.sty,03.sty,04.mar,2.0,0.9,0.4,01.kwi,2.0,09.maj,
243,Miles McBride,24,NYK,PG,64,10,24.wrz,03.maj,08.maj,0.406,01.sie,04.wrz,0.369,01.lip,03.lip,0.455,0.511,0.8,1.0,0.813,0.7,01.sie,02.maj,02.wrz,1.0,0.3,0.6,01.lip,09.maj,
244,Jalen Wilson,24,BRK,PF,79,22,25.lip,03.sty,07.sie,0.397,01.maj,04.cze,0.337,01.cze,03.mar,0.481,0.495,01.lip,02.sty,0.818,0.9,02.maj,03.kwi,01.sie,0.5,0.1,1.0,02.sty,09.maj,
245,Nickeil Alexander-Walker,26,MIN,SG,82,10,25.mar,03.mar,07.maj,0.438,01.lip,04.maj,0.381,01.cze,3.0,0.524,0.553,01.sty,01.kwi,0.78,0.7,02.cze,03.lut,02.lip,0.6,0.4,01.lut,01.lip,09.kwi,6MOY-6
246,Cole Anthony,24,ORL,PG,67,22,18.kwi,03.kwi,08.sty,0.424,01.sty,03.mar,0.353,02.mar,04.wrz,0.471,0.494,01.kwi,01.lip,0.823,0.7,02.kwi,3.0,02.wrz,0.7,0.5,01.maj,02.mar,09.kwi,
247,Anthony Black,21,ORL,PG,78,10,24.lut,03.kwi,07.wrz,0.423,0.8,02.maj,0.318,02.cze,05.kwi,0.471,0.473,01.wrz,02.maj,0.761,0.7,02.mar,02.wrz,03.sty,01.sty,0.6,01.sie,02.sty,09.kwi,
248,Max Strus,28,CLE,SF,50,37,25.maj,03.mar,07.maj,0.442,02.mar,05.wrz,0.386,1.0,01.cze,0.65,0.594,0.6,0.7,0.824,01.sty,03.mar,04.mar,03.lut,0.5,0.2,01.sty,02.sty,09.kwi,
249,Tristan Vukcevic,21,WAS,C,35,1,14.lip,03.kwi,06.wrz,0.496,01.sty,02.wrz,0.373,02.mar,4.0,0.586,0.574,01.maj,01.wrz,0.776,0.7,3.0,03.lip,01.sty,0.3,0.7,01.lut,01.cze,09.kwi,
250,Cam Whitmore,20,HOU,SF,51,3,16.lut,03.maj,07.wrz,0.444,01.mar,03.cze,0.355,02.lut,04.mar,0.518,0.525,01.sty,01.kwi,0.75,0.7,02.mar,3.0,1.0,0.6,0.3,0.9,0.9,09.kwi,
251,Nick Richards,27,2TM,C,57,43,22.0,03.cze,06.sty,0.591,0.0,0.0,0.0,03.cze,06.sty,0.594,0.591,02.sty,02.sie,0.744,02.cze,05.cze,08.lut,0.9,0.2,1.0,01.kwi,02.maj,09.mar,
252,Nick Richards,27,CHO,C,21,9,21.0,3.0,05.kwi,0.561,0.0,0.0,0.0,3.0,05.kwi,0.566,0.561,02.sie,04.sty,0.678,02.kwi,05.sty,07.maj,01.mar,0.3,01.lut,01.cze,02.mar,08.wrz,
253,Nick Richards,27,PHO,C,36,34,22.lip,03.wrz,06.maj,0.605,0.0,0.0,0.0,03.wrz,06.kwi,0.608,0.605,01.lip,2.0,0.822,02.lip,05.wrz,08.cze,0.6,0.2,0.8,01.mar,02.cze,09.maj,
254,Kel'el Ware,20,MIA,C,64,36,22.lut,4.0,07.mar,0.554,0.5,01.lip,0.315,03.maj,05.maj,0.629,0.592,0.7,1.0,0.687,01.sie,05.cze,07.kwi,0.9,0.6,01.sty,0.9,01.lip,09.mar,ROY-6
255,Zach Edey,22,MEM,C,66,55,21.maj,03.sie,06.cze,0.58,0.3,0.8,0.346,03.maj,05.sie,0.612,0.6,01.kwi,01.wrz,0.709,03.maj,04.sie,08.mar,1.0,0.5,01.mar,01.mar,02.sie,09.lut,ROY-5
256,Wendell Carter Jr.,25,ORL,C,68,51,25.wrz,03.mar,07.lut,0.46,0.5,02.mar,0.234,02.sie,04.wrz,0.568,0.498,01.wrz,02.cze,0.737,02.lut,5.0,07.lut,2.0,0.8,0.6,01.sty,02.wrz,09.sty,
257,Noah Clowney,20,BRK,PF,46,20,22.lip,02.wrz,08.sty,0.358,01.wrz,05.lip,0.333,1.0,02.kwi,0.414,0.474,01.maj,01.lip,0.838,0.9,3.0,03.wrz,0.9,0.5,0.5,1.0,02.mar,09.sty,
258,Dalton Knecht,23,LAL,SF,78,16,19.lut,03.mar,07.sty,0.461,01.cze,04.kwi,0.376,01.lip,02.sie,0.594,0.576,0.8,01.sty,0.762,0.5,02.mar,02.sie,0.8,0.3,0.1,0.5,01.lut,09.sty,
259,A.J. Lawson,24,TOR,SG,26,2,18.lip,03.sty,07.mar,0.421,01.mar,03.wrz,0.327,01.sie,03.kwi,0.528,0.508,01.lip,02.kwi,0.683,0.8,02.maj,03.mar,01.lut,0.5,0.2,0.6,01.lip,09.sty,
260,T.J. McConnell,32,IND,PG,79,1,17.wrz,04.sty,07.wrz,0.519,0.2,0.6,0.306,03.wrz,07.mar,0.537,0.531,0.7,1.0,0.74,0.6,01.wrz,02.kwi,04.kwi,01.sty,0.3,01.kwi,1.0,09.sty,
261,Yves Missi,20,NOP,C,73,67,26.sie,03.lip,06.lip,0.547,0.0,0.0,0.0,03.lip,06.lip,0.548,0.547,01.lip,02.sie,0.623,03.maj,04.lip,08.lut,01.kwi,0.5,01.mar,01.sty,2.0,09.sty,
262,Royce O'Neale,31,PHO,SF,75,22,24.maj,03.lut,07.cze,0.423,02.kwi,05.wrz,0.406,0.8,01.lip,0.481,0.58,0.3,0.3,0.731,0.7,03.wrz,04.lip,02.lut,0.9,0.5,0.9,2.0,09.sty,
263,Jared Butler,24,2TM,SG,60,17,17.kwi,03.kwi,07.cze,0.448,1.0,02.sie,0.355,02.kwi,04.lip,0.504,0.514,01.mar,01.maj,0.824,0.4,01.kwi,01.sie,03.lip,0.7,0.2,01.mar,01.cze,9.0,
264,Jared Butler,24,WAS,PG,32,0,11.mar,02.lip,05.maj,0.483,0.5,01.mar,0.366,02.lut,04.lut,0.519,0.526,01.sty,01.kwi,0.778,0.4,0.8,01.mar,02.cze,0.4,0.2,0.9,01.mar,06.wrz,
265,Jared Butler,24,PHI,SG,28,17,24.kwi,04.lut,09.wrz,0.426,01.cze,04.cze,0.352,02.cze,05.mar,0.49,0.507,01.kwi,01.cze,0.87,0.4,02.sty,02.maj,04.wrz,01.sty,0.3,01.sie,2.0,11.maj,
266,Marcus Smart,30,2TM,PG,34,7,20.0,3.0,07.cze,0.393,01.kwi,04.sty,0.348,01.maj,03.kwi,0.448,0.488,01.cze,02.sty,0.761,0.5,01.cze,02.sty,03.lut,01.sty,0.3,01.cze,01.cze,9.0,
267,Marcus Smart,30,MEM,PG,19,6,21.sty,02.sie,07.sie,0.358,01.maj,04.lip,0.322,01.mar,03.sty,0.414,0.456,01.cze,01.wrz,0.833,0.7,01.maj,02.mar,03.lip,01.lut,0.3,01.sie,01.cze,08.lip,
